scenario,generator,evaluator,category,score
fork,claude,claude,structural,0.964
fork,claude,claude,semantic,0.76
fork,claude,claude,specification,0.688
fork,claude,gpt,structural,0.96
fork,claude,gpt,semantic,0.88
fork,claude,gpt,specification,0.91
fork,claude,swe,structural,0.93
fork,claude,swe,semantic,0.88
fork,claude,swe,specification,0.94
fork,gpt,claude,structural,0.929
fork,gpt,claude,semantic,0.78
fork,gpt,claude,specification,0.688
fork,gpt,gpt,structural,0.93
fork,gpt,gpt,semantic,0.92
fork,gpt,gpt,specification,0.81
fork,gpt,swe,structural,0.85
fork,gpt,swe,semantic,0.88
fork,gpt,swe,specification,0.92
fork,swe,claude,structural,0.871
fork,swe,claude,semantic,0.62
fork,swe,claude,specification,0.8125
fork,swe,gpt,structural,0.93
fork,swe,gpt,semantic,0.72
fork,swe,gpt,specification,0.81
fork,swe,swe,structural,0.93
fork,swe,swe,semantic,0.88
fork,swe,swe,specification,0.94
loop,claude,claude,structural,0.86
loop,claude,claude,semantic,0.68
loop,claude,claude,specification,0.625
loop,claude,gpt,structural,0.96
loop,claude,gpt,semantic,0.86
loop,claude,gpt,specification,0.91
loop,claude,swe,structural,1
loop,claude,swe,semantic,0.92
loop,claude,swe,specification,0.94
loop,gpt,claude,structural,0.93
loop,gpt,claude,semantic,0.79
loop,gpt,claude,specification,0.625
loop,gpt,gpt,structural,0.93
loop,gpt,gpt,semantic,0.88
loop,gpt,gpt,specification,0.81
loop,gpt,swe,structural,0.96
loop,gpt,swe,semantic,0.86
loop,gpt,swe,specification,0.91
loop,swe,claude,structural,0.893
loop,swe,claude,semantic,0.72
loop,swe,claude,specification,0.75
loop,swe,gpt,structural,0.93
loop,swe,gpt,semantic,0.82
loop,swe,gpt,specification,0.94
loop,swe,swe,structural,1
loop,swe,swe,semantic,0.85
loop,swe,swe,specification,0.94
simple,claude,claude,structural,0.93
simple,claude,claude,semantic,0.74
simple,claude,claude,specification,0.75
simple,claude,gpt,structural,0.93
simple,claude,gpt,semantic,0.87
simple,claude,gpt,specification,0.81
simple,claude,swe,structural,1
simple,claude,swe,semantic,0.95
simple,claude,swe,specification,0.875
simple,gpt,claude,structural,1
simple,gpt,claude,semantic,0.82
simple,gpt,claude,specification,0.75
simple,gpt,gpt,structural,1
simple,gpt,gpt,semantic,0.92
simple,gpt,gpt,specification,0.94
simple,gpt,swe,structural,1
simple,gpt,swe,semantic,0.9
simple,gpt,swe,specification,0.94
simple,swe,claude,structural,0.86
simple,swe,claude,semantic,0.62
simple,swe,claude,specification,0.81
simple,swe,gpt,structural,0.93
simple,swe,gpt,semantic,0.88
simple,swe,gpt,specification,0.91
simple,swe,swe,structural,1
simple,swe,swe,semantic,0.85
simple,swe,swe,specification,0.875
trycatch,claude,claude,structural,0.893
trycatch,claude,claude,semantic,0.78
trycatch,claude,claude,specification,0.625
trycatch,claude,gpt,structural,0.93
trycatch,claude,gpt,semantic,0.88
trycatch,claude,gpt,specification,0.84
trycatch,claude,swe,structural,1
trycatch,claude,swe,semantic,0.85
trycatch,claude,swe,specification,0.875
trycatch,gpt,claude,structural,0.93
trycatch,gpt,claude,semantic,0.82
trycatch,gpt,claude,specification,0.59
trycatch,gpt,gpt,structural,0.93
trycatch,gpt,gpt,semantic,0.88
trycatch,gpt,gpt,specification,0.66
trycatch,gpt,swe,structural,1
trycatch,gpt,swe,semantic,0.85
trycatch,gpt,swe,specification,0.875
trycatch,swe,claude,structural,0.79
trycatch,swe,claude,semantic,0.72
trycatch,swe,claude,specification,0.69
trycatch,swe,gpt,structural,0.86
trycatch,swe,gpt,semantic,0.88
trycatch,swe,gpt,specification,0.56
trycatch,swe,swe,structural,0.86
trycatch,swe,swe,semantic,0.78
trycatch,swe,swe,specification,0.75
