scenario,generator,evaluator,category,criterion,score
fork,claude,claude,structural,actions_coverage,1
fork,claude,claude,structural,decisions_coverage,1
fork,claude,claude,structural,branches_coverage,1
fork,claude,claude,structural,loop_coverage,1
fork,claude,claude,structural,parallel_coverage,1
fork,claude,claude,structural,termination_coverage,1
fork,claude,claude,structural,no_extra_behavior,0.5
fork,claude,claude,specification,actions_completeness,1
fork,claude,claude,specification,inputs_outputs_clarity,0.5
fork,claude,claude,specification,state_definitions,0.5
fork,claude,claude,specification,action_semantics,1
fork,claude,claude,specification,transaction_consistency,0.5
fork,claude,claude,specification,exception_handling,0
fork,claude,claude,specification,decision_conditions,0.5
fork,claude,claude,specification,termination_definitions,1
fork,claude,gpt,structural,actions_coverage,1
fork,claude,gpt,structural,decisions_coverage,1
fork,claude,gpt,structural,branches_coverage,1
fork,claude,gpt,structural,loop_coverage,1
fork,claude,gpt,structural,parallel_coverage,1
fork,claude,gpt,structural,termination_coverage,1
fork,claude,gpt,structural,no_extra_behavior,0.75
fork,claude,gpt,specification,actions_completeness,1
fork,claude,gpt,specification,inputs_outputs_clarity,0.9
fork,claude,gpt,specification,state_definitions,0.9
fork,claude,gpt,specification,action_semantics,0.9
fork,claude,gpt,specification,transaction_consistency,1
fork,claude,gpt,specification,exception_handling,0.8
fork,claude,gpt,specification,decision_conditions,1
fork,claude,gpt,specification,termination_definitions,1
fork,claude,swe,structural,actions_coverage,1
fork,claude,swe,structural,decisions_coverage,1
fork,claude,swe,structural,branches_coverage,1
fork,claude,swe,structural,loop_coverage,1
fork,claude,swe,structural,parallel_coverage,1
fork,claude,swe,structural,termination_coverage,1
fork,claude,swe,structural,no_extra_behavior,0.5
fork,claude,swe,specification,actions_completeness,1
fork,claude,swe,specification,inputs_outputs_clarity,1
fork,claude,swe,specification,state_definitions,0.75
fork,claude,swe,specification,action_semantics,1
fork,claude,swe,specification,transaction_consistency,1
fork,claude,swe,specification,exception_handling,1
fork,claude,swe,specification,decision_conditions,1
fork,claude,swe,specification,termination_definitions,1
fork,gpt,claude,structural,actions_coverage,1
fork,gpt,claude,structural,decisions_coverage,1
fork,gpt,claude,structural,branches_coverage,1
fork,gpt,claude,structural,loop_coverage,1
fork,gpt,claude,structural,parallel_coverage,1
fork,gpt,claude,structural,termination_coverage,1
fork,gpt,claude,structural,no_extra_behavior,0.5
fork,gpt,claude,specification,actions_completeness,1
fork,gpt,claude,specification,inputs_outputs_clarity,0.5
fork,gpt,claude,specification,state_definitions,0.5
fork,gpt,claude,specification,action_semantics,1
fork,gpt,claude,specification,transaction_consistency,0.5
fork,gpt,claude,specification,exception_handling,0
fork,gpt,claude,specification,decision_conditions,0.5
fork,gpt,claude,specification,termination_definitions,1
fork,gpt,gpt,structural,actions_coverage,1
fork,gpt,gpt,structural,decisions_coverage,1
fork,gpt,gpt,structural,branches_coverage,1
fork,gpt,gpt,structural,loop_coverage,1
